movie_id,title,genre,rating,review
47,Se7en,Thriller,8.6,A disturbing psychological thriller about a serial killer.
48,The Hateful Eight,Western,7.8,Quentin Tarantino’s post-Civil War western about a group of strangers trapped in a cabin.
49,The Dark Knight,Action,9.0,The iconic superhero movie with a dark twist.
50,The Incredibles 2,Animation,7.6,The superhero family returns for more action and comedy.
51,The Truman Show,Drama,8.1,A satirical film about a man who discovers his life is a reality TV show.
52,American History X,Drama,8.5,A film about racism and redemption through the eyes of a reformed neo-Nazi.
53,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Fantasy,6.9,A fantasy adventure of four siblings who discover a magical world.
54,The Exorcist,Horror,8.0,A chilling supernatural horror film about possession.
55,The Hangover,Comedy,7.7,A raunchy comedy about a bachelor party gone wrong.
56,Requiem for a Dream,Drama,8.3,A disturbing exploration of addiction and its consequences.
57,The Lord of the Rings: The Two Towers,Fantasy,8.7,The epic middle chapter of the Lord of the Rings trilogy.
58,Pulp Fiction,Crime,8.9,Quentin Tarantino’s iconic nonlinear narrative.
59,The Princess Bride,Fantasy,8.1,A whimsical fairy tale adventure filled with romance and humor.
60,Ferris Bueller’s Day Off,Comedy,7.8,A high school senior skips school for a day of adventure in Chicago.
61,Deadpool,Action,8.0,The irreverent and comedic anti-hero hits the big screen.
62,Guardians of the Galaxy,Action,8.0,The unlikely team of misfit heroes save the galaxy.
63,The Martian,Sci-Fi,8.0,A gripping survival tale set on Mars.
64,The Matrix Reloaded,Action,7.2,The second installment in the Matrix trilogy.
65,Finding Nemo,Animation,8.1,A Pixar classic about a fish on a journey to find his son.
66,The Lion King,Animation,8.5,Disney’s classic about a young lion’s journey to the throne.
67,The Godfather,Crime,9.2,A mafia classic with powerful performances.
68,The Wolf of Wall Street,Comedy,8.2,A wild ride about the rise and fall of a stockbroker.
69,The Imitation Game,Drama,8.0,A biographical drama about Alan Turing, the mathematician who broke the Enigma code.
70,The Hunger Games,Action,7.2,A dystopian survival film where children fight to the death.
71,The Martian,Drama,8.0,Matt Damon survives a disaster on Mars.
72,Bridget Jones's Diary,Romance,6.7,A romantic comedy about a woman’s search for love and meaning.
73,La La Land,Romance,8.0,A musical love story about two aspiring artists in Los Angeles.
74,The Maze Runner,Action,6.8,A teen thriller about a group of kids trapped in a giant maze.
75,Sicario,Crime,8.0,A gritty crime thriller about the war on drugs.
76,The Giver,Drama,6.5,A dystopian tale where emotions are erased and choices are limited.
77,The Lego Movie,Animation,7.8,A fun-filled animated adventure about a Lego minifigure.
78,Deadpool 2,Action,7.7,The irreverent anti-hero returns for more chaos and humor.
79,Jurassic World,Adventure,7.0,A reboot of the Jurassic Park franchise.
80,The Great Gatsby,Drama,7.4,A story of love and excess in the Roaring Twenties.
81,Star Wars: The Last Jedi,Sci-Fi,7.0,A divisive continuation of the Star Wars saga.
82,The Expendables,Action,6.9,An action-packed movie filled with a cast of veteran stars.
83,Harry Potter and the Sorcerer’s Stone,Fantasy,8.0,A young wizard begins his journey at Hogwarts School of Witchcraft and Wizardry.
84,The Avengers: Age of Ultron,Action,7.3,A sequel where the Avengers must stop a powerful artificial intelligence.
85,The Secret Life of Walter Mitty,Adventure,7.3,A daydreamer embarks on a real adventure to find a missing photograph.
86,Guardians of the Galaxy Vol. 2,Action,7.6,The Guardians return for more cosmic adventures and heartwarming moments.
87,The Revenant,Adventure,8.0,A gritty survival film about a man’s fight for survival in the wild.
88,Avengers: Endgame,Action,8.4,The epic conclusion to the Marvel Cinematic Universe’s Infinity Saga.
89,The Conjuring,Horror,7.5,A haunting true story about paranormal investigators.
90,The Incredibles,Animation,8.0,A family of superheroes on a mission to save the world.
91,The Outsiders,Drama,7.1,A coming-of-age drama about teenagers navigating life’s challenges.
92,Rocky,Drama,8.1,A sports drama about an underdog boxer fighting for his shot at the title.
93,The Good, the Bad and the Ugly,Western,8.8,The definitive spaghetti western.
94,Die Hard,Action,8.2,A holiday action classic about a cop fighting terrorists in a skyscraper.
95,Dirty Dancing,Romance,7.0,A love story set against the backdrop of summer dance camp.
96,The Godfather Part III,Crime,7.6,The final chapter in the Godfather trilogy.
97,The Breakfast Club,Comedy,8.0,A coming-of-age movie set in a high school detention.
98,The Pursuit of Happyness,Drama,8.0,A biographical film about a man’s journey to find a better life.
99,The Shining,Horror,8.4,A chilling psychological horror film directed by Stanley Kubrick.
100,The Princess Diaries,Comedy,6.3,A teenager discovers she’s a princess and learns what it takes to be royal.
101,The Fault in Our Stars,Romance,7.7,A heartwrenching love story between two teenagers with cancer.
102,The Croods,Animation,7.2,A prehistoric family embarks on an adventure to find a new home.
103,Shazam!,Action,7.0

